"id","Model","est_beta0","est_beta1","est_beta2","Design","Exposure_Highest_Error","Covar","ErrorVar","Truth"
4,"X3",1.92538145679197,1.30291811503336,0.49103799065263,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
4,"X4",2.99201515629557,1.99794911547326,0.637291903662652,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
4,"X5",3.85547914426258,2.49970327755454,0.756757294433203,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
5,"X1",-0.00884514440288556,0.507890638529902,0.0315573322398605,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
5,"X2",0.968768039700407,1.23226362012959,-0.302151393615592,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
5,"X3",2.01305603884675,1.68246048167219,0.164975638575773,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
5,"X4",3.07224054060691,2.11867409883934,-0.0921245749289064,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
5,"X5",3.75885200313009,2.50227043793088,0.803090624452656,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
6,"X1",0.0520425874852207,0.401838695633654,0.245089817865727,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
6,"X2",1.15619988228903,0.83373933244065,0.145579755867414,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
6,"X3",1.97569431844267,1.63410569325345,0.0733963402114462,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
6,"X4",2.99434521835684,1.82244818130521,0.358554916960406,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
6,"X5",4.12294769644699,2.74521208923881,-0.0457658576474491,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
7,"X1",0.0626457067827684,0.450452519453756,-0.0730455121796448,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
7,"X2",0.897519676887307,1.05488520532127,0.0552294468843363,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
7,"X3",2.0550885796356,1.54985464297526,-0.0335116337888092,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
7,"X4",2.67879731989629,2.02233861042792,0.730128840565008,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
7,"X5",3.91993261979233,2.45821871990423,0.764048124613869,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
8,"X1",0.0210608930154935,0.579256484962934,-0.023975635665952,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
8,"X2",0.986882661635757,1.03555286120086,0.209180932657076,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
8,"X3",1.91807551343095,1.52781381956075,0.786736878475811,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
8,"X4",3.07617694662293,2.11387341479448,0.368104401593645,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
8,"X5",3.89076622956549,2.50782197322181,0.87984954587222,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
9,"X1",0.121981639484984,0.483736741747105,0.0130597781942122,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
9,"X2",1.09792513167923,1.1656360178477,0.0997102369715828,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
9,"X3",2.15450905067035,1.60128460466134,-0.0747847474645966,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
9,"X4",3.13041328242969,2.02143004805321,0.0803820562244967,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
9,"X5",3.91434012561265,2.607865242267,0.143144058097977,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
10,"X1",-0.00699510696396717,0.54530369204767,0.200381155151911,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
10,"X2",1.05919592235337,0.927517942184963,0.284424433979339,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
10,"X3",2.23078049417092,1.60964486022998,0.168233584360029,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
10,"X4",3.22834527042289,2.18803544114895,0.138426351688775,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
10,"X5",4.00869835089641,2.49154379088578,0.691817692872619,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
11,"X1",0.0175264561446578,0.576170506249707,-0.00946565817562554,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
11,"X2",0.93406114942205,1.16414177427033,0.242047621805905,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
11,"X3",1.9872941453441,1.48944181401269,0.776022692341251,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
11,"X4",3.1282667001656,2.22501541199495,0.0479678228809936,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
11,"X5",4.04818645009651,2.7234184940407,0.193239584503811,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
12,"X1",-0.104614619899217,0.551735572507341,0.154558046963433,"SRS",1,"Dependent Covariates (Equal Covariance)",1,0.5
12,"X2",1.01319192559661,1.12577169392512,-0.083984924378153,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1
12,"X3",1.8883479324286,1.3860190870937,0.552786242601348,"SRS",1,"Dependent Covariates (Equal Covariance)",1,1.5
12,"X4",3.06218042612082,2.05762127547022,0.356805772919865,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2
12,"X5",4.2190774275105,2.43446417558048,0.270070302150519,"SRS",1,"Dependent Covariates (Equal Covariance)",1,2.5
