"id","Model","est_beta0","est_beta1","est_beta2","Design","Covar","ErrorVar","Truth"
1,"X1",0.0334975310869231,0.494633897811548,0.111538071688675,"SRS","Dependent Covariates (Equal Covariance)",0.0625,0.5
1,"X2",1.07570477809682,0.861268529185601,0.300637335993158,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1
1,"X3",2.19652895944837,1.50769253882037,0.139642794104306,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1.5
1,"X4",3.03420804227842,2.01043708743921,0.571428339358384,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2
1,"X5",3.85069541614982,2.38027098528836,0.823932915636562,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2.5
2,"X1",-0.0550413765474626,0.517436005109832,0.25532872902672,"SRS","Dependent Covariates (Equal Covariance)",0.0625,0.5
2,"X2",1.06205089507906,0.940501386985637,0.251921713021158,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1
2,"X3",2.01438158303043,1.44949898568102,0.420131822009708,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1.5
2,"X4",2.97903850887559,1.93406345159728,0.368560902583748,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2
2,"X5",4.08494044446259,2.58987161750646,0.198300368555223,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2.5
3,"X1",0.0600068180355495,0.508211423946158,0.0256320230856247,"SRS","Dependent Covariates (Equal Covariance)",0.0625,0.5
3,"X2",1.02262340624851,1.03875363681091,0.14758927508424,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1
3,"X3",2.00545445877219,1.32400261090979,0.331629033531255,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1.5
3,"X4",3.01624400822768,1.96824261524319,0.306454675554858,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2
3,"X5",4.124077689141,2.56044163986514,0.3249780779845,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2.5
4,"X1",-0.0984433827312722,0.508795528575404,0.193251457135934,"SRS","Dependent Covariates (Equal Covariance)",0.0625,0.5
4,"X2",1.05167490925208,0.892851205571916,0.318155464881279,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1
4,"X3",1.96535142539517,1.36060358645578,0.467086794814126,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1.5
4,"X4",2.82135657240339,1.95116813699992,0.520816580783377,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2
4,"X5",3.87614408581466,2.57374564898751,0.481921417599787,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2.5
5,"X1",0.0120407000749068,0.484080214442757,-0.00928233256824888,"SRS","Dependent Covariates (Equal Covariance)",0.0625,0.5
5,"X2",1.06856341591529,1.11230159150565,0.0209407418942167,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1
5,"X3",1.93151013557597,1.69304094596642,0.326177303924439,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1.5
5,"X4",2.88720028882968,1.93686369472087,0.342800564373021,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2
5,"X5",3.89290479674518,2.4912206681655,0.693950081904555,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2.5
6,"X1",0.119622821252166,0.50802483943779,-0.0960760310478736,"SRS","Dependent Covariates (Equal Covariance)",0.0625,0.5
6,"X2",1.00368025257794,0.919476404936512,0.238424120141089,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1
6,"X3",1.9419018385836,1.55529423740347,0.119755395906339,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1.5
6,"X4",3.13500892834599,1.93636395963197,0.207557874939699,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2
6,"X5",4.10647450231998,2.63471384517219,0.412576844065925,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2.5
7,"X1",-0.0191607730845155,0.500256883526889,0.118228391850065,"SRS","Dependent Covariates (Equal Covariance)",0.0625,0.5
7,"X2",1.06930587662397,1.02307993053439,0.143375720545324,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1
7,"X3",2.08514954495296,1.47540954378856,0.183065570268613,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1.5
7,"X4",2.84555977865901,2.09308560499669,0.516587502493261,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2
7,"X5",4.03097415462536,2.49509354761716,0.486004257457929,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2.5
8,"X1",0.0354322988111869,0.536342684495235,0.0181318929277818,"SRS","Dependent Covariates (Equal Covariance)",0.0625,0.5
8,"X2",0.942722493936198,0.97152852944334,0.219433943173948,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1
8,"X3",1.84862802979357,1.50950860543133,0.811024063581473,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1.5
8,"X4",2.95175182665366,1.93052188402634,0.657218957149319,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2
8,"X5",3.82846448324216,2.71532653553469,0.609547616573386,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2.5
9,"X1",0.0209266758499681,0.512855417810199,0.00202137456145993,"SRS","Dependent Covariates (Equal Covariance)",0.0625,0.5
9,"X2",1.03498484555324,1.08613582875126,0.0411602620925472,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1
9,"X3",1.88785191375709,1.66361698700649,0.094095154746155,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1.5
9,"X4",2.82668452511671,1.96344852096996,0.746557446025356,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2
9,"X5",4.10728801050387,2.55788430066525,0.315484030653265,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2.5
10,"X1",0.010322432336597,0.490605540806472,0.142125877142279,"SRS","Dependent Covariates (Equal Covariance)",0.0625,0.5
10,"X2",1.07317247575348,0.974906668495759,0.151113143915676,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1
10,"X3",2.07512425233969,1.35183698554921,0.462511388242834,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1.5
10,"X4",3.14529774586014,1.8713454384975,0.559336420361615,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2
10,"X5",4.08019878372237,2.63385101178916,0.436150466666398,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2.5
11,"X1",0.00751379352846411,0.524297543600766,0.12439729210288,"SRS","Dependent Covariates (Equal Covariance)",0.0625,0.5
11,"X2",0.97686291569836,0.998111647538488,0.297407959969126,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1
11,"X3",2.02625966798924,1.61580701646305,0.51423859442585,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1.5
11,"X4",3.0260358758535,2.20381548070214,0.445921255950777,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2
11,"X5",3.90406968058481,2.76247932587244,0.489792675499869,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2.5
12,"X1",-0.0338455277359343,0.501773598207676,0.090414519606563,"SRS","Dependent Covariates (Equal Covariance)",0.0625,0.5
12,"X2",0.992028440722134,0.981878238111819,0.320309519202588,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1
12,"X3",1.98205380157434,1.4974406410537,0.610376636849644,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1.5
12,"X4",2.99348105514103,2.04018197770901,0.346614701716629,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2
12,"X5",3.98797673777462,2.35868642255108,0.39537658070566,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2.5
13,"X1",-0.0484384778838143,0.500030819679881,0.178497698795868,"SRS","Dependent Covariates (Equal Covariance)",0.0625,0.5
13,"X2",1.05912076572382,1.00048891346295,0.0386622775476827,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1
13,"X3",2.07636885175635,1.48447457405295,0.204649650546718,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1.5
13,"X4",2.89015413970496,2.12166233150353,0.415141294388771,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2
13,"X5",3.95857266158298,2.39205433799938,0.504523201279139,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2.5
14,"X1",0.0355875449138296,0.435127343311368,0.0556049068588923,"SRS","Dependent Covariates (Equal Covariance)",0.0625,0.5
14,"X2",0.983555766466143,1.03280005971791,0.138849085037975,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1
14,"X3",2.07551366733455,1.5651436052,0.0182918388445505,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1.5
14,"X4",3.00025450569284,1.99001237444821,0.654145910657198,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2
14,"X5",3.90858497784656,2.33495335924787,1.01377234415677,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2.5
15,"X1",-0.00449340657327578,0.481422505448776,0.189803284285858,"SRS","Dependent Covariates (Equal Covariance)",0.0625,0.5
15,"X2",1.07524778474102,0.997704279380305,0.0840407201404634,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1
15,"X3",1.94627574146485,1.5197593865179,0.376670133280954,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1.5
15,"X4",2.93906779288233,1.97881995749606,0.584462198065239,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2
15,"X5",3.84506693278558,2.89913093442723,0.360436219863682,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2.5
16,"X1",0.0360601288057518,0.60444359083923,0.094840214326362,"SRS","Dependent Covariates (Equal Covariance)",0.0625,0.5
16,"X2",0.865753391194971,1.06742666689138,0.340022207265259,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1
16,"X3",1.90391924159435,1.55013974397418,0.425969430837964,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1.5
16,"X4",2.97440989515328,2.07581047901705,0.314187939494933,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2
16,"X5",3.93800728424889,2.4277765261104,0.938720570496092,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2.5
17,"X1",-0.0796406168507004,0.514616322563027,0.196502254185097,"SRS","Dependent Covariates (Equal Covariance)",0.0625,0.5
17,"X2",1.09617280128796,1.03533863053131,0.00813710595328447,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1
17,"X3",2.0461572250633,1.64410286659407,0.177492601490061,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1.5
17,"X4",2.93281872287533,1.86347354981011,0.636498012068335,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2
17,"X5",4.04182900049104,2.41794352104805,0.459412428933598,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2.5
18,"X1",0.0128820060953611,0.51343311042129,0.0389632052650105,"SRS","Dependent Covariates (Equal Covariance)",0.0625,0.5
18,"X2",1.0936574406317,1.05317176512259,-0.051741515074203,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1
18,"X3",1.8080469554364,1.55227905674971,0.752678105260111,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1.5
18,"X4",2.76470733394646,1.993145593598,0.810129738823622,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2
18,"X5",4.03494627065461,2.19855609724178,0.915786280357718,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2.5
19,"X1",-0.00267255329630801,0.493007606613655,0.0306730948182408,"SRS","Dependent Covariates (Equal Covariance)",0.0625,0.5
19,"X2",1.02159367010179,1.01634074684184,0.121222456934302,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1
19,"X3",1.90675220608894,1.59735607541848,0.424947560494302,"SRS","Dependent Covariates (Equal Covariance)",0.0625,1.5
19,"X4",2.98313778123162,1.89187023647577,0.818283360286062,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2
19,"X5",3.93523264785314,2.74928418957732,0.496254617351128,"SRS","Dependent Covariates (Equal Covariance)",0.0625,2.5
20,"X1",0.0851346604994704,0.479674709310308,-0.0375433531472215,"SRS","Dependent Covariates (Equal Covariance)",0.0625,0.5
