"id","Model","est_beta0","est_beta1","est_beta2","Design","Exposure_Highest_Error","Covar","ErrorVar","Truth"
1,"X1",0.0282472867097724,0.478211887698159,0.124677323563815,"SRS",5,"Dependent Covariates (Equal Covariance)",1,0.5
1,"X2",1.06530201193208,0.905253834033918,0.270489865620928,"SRS",5,"Dependent Covariates (Equal Covariance)",1,1
1,"X3",2.03362287613431,1.36078207450881,0.455781265110536,"SRS",5,"Dependent Covariates (Equal Covariance)",1,1.5
1,"X4",2.90707386184574,2.08804971807526,0.768612220156997,"SRS",5,"Dependent Covariates (Equal Covariance)",1,2
1,"X5",3.60729120277989,2.48748327746966,0.823886732664964,"SRS",5,"Dependent Covariates (Equal Covariance)",1,2.5
2,"X1",-0.0715259029359419,0.491155750847273,0.244312966431633,"SRS",5,"Dependent Covariates (Equal Covariance)",1,0.5
2,"X2",1.04045345620368,0.972994109556351,0.289336575607413,"SRS",5,"Dependent Covariates (Equal Covariance)",1,1
2,"X3",2.16257001700251,1.47859841999788,0.305025548044452,"SRS",5,"Dependent Covariates (Equal Covariance)",1,1.5
2,"X4",3.06379674039265,1.91252446080381,0.231947352548372,"SRS",5,"Dependent Covariates (Equal Covariance)",1,2
2,"X5",4.02790481812927,2.6660753088772,0.532553315825371,"SRS",5,"Dependent Covariates (Equal Covariance)",1,2.5
3,"X1",0.0645653018573388,0.479761317553544,0.0705440419945249,"SRS",5,"Dependent Covariates (Equal Covariance)",1,0.5
3,"X2",1.01436328088808,1.07509015756298,0.173819680256387,"SRS",5,"Dependent Covariates (Equal Covariance)",1,1
3,"X3",2.01943773104008,1.35792395583115,0.401404228264679,"SRS",5,"Dependent Covariates (Equal Covariance)",1,1.5
3,"X4",3.01679168768705,1.9184799989359,0.593702273727506,"SRS",5,"Dependent Covariates (Equal Covariance)",1,2
3,"X5",4.19336631126849,2.32770707522163,0.698950205455695,"SRS",5,"Dependent Covariates (Equal Covariance)",1,2.5
4,"X1",-0.103999628864874,0.541411207729417,0.166240854238855,"SRS",5,"Dependent Covariates (Equal Covariance)",1,0.5
4,"X2",1.02609414344897,1.0046561408823,0.289976204392064,"SRS",5,"Dependent Covariates (Equal Covariance)",1,1
4,"X3",1.92538145679197,1.30291811503336,0.49103799065263,"SRS",5,"Dependent Covariates (Equal Covariance)",1,1.5
4,"X4",2.65429339809826,1.87702269074744,0.780944108524651,"SRS",5,"Dependent Covariates (Equal Covariance)",1,2
4,"X5",3.90951727348486,2.5619165085343,0.717791203636018,"SRS",5,"Dependent Covariates (Equal Covariance)",1,2.5
5,"X1",-0.0320451631468632,0.498337761499774,0.0729435790626619,"SRS",5,"Dependent Covariates (Equal Covariance)",1,0.5
5,"X2",1.06616381809575,1.13933821145899,-0.118437844613069,"SRS",5,"Dependent Covariates (Equal Covariance)",1,1
5,"X3",2.01305603884675,1.68246048167219,0.164975638575773,"SRS",5,"Dependent Covariates (Equal Covariance)",1,1.5
5,"X4",2.82393761649534,2.31108430473596,-0.464053575464631,"SRS",5,"Dependent Covariates (Equal Covariance)",1,2
5,"X5",3.82934380932926,2.50596526485045,0.785438820037691,"SRS",5,"Dependent Covariates (Equal Covariance)",1,2.5
6,"X1",0.09535279984406,0.549461329197056,-0.0917440129717077,"SRS",5,"Dependent Covariates (Equal Covariance)",1,0.5
6,"X2",1.02548428034083,0.922821916811436,0.184656277394166,"SRS",5,"Dependent Covariates (Equal Covariance)",1,1
6,"X3",1.97569431844267,1.63410569325345,0.0733963402114462,"SRS",5,"Dependent Covariates (Equal Covariance)",1,1.5
6,"X4",3.26326847033432,1.66953391006145,0.246599794728234,"SRS",5,"Dependent Covariates (Equal Covariance)",1,2
6,"X5",3.91255099113458,2.38173128556993,1.29050130578066,"SRS",5,"Dependent Covariates (Equal Covariance)",1,2.5
7,"X1",0.0417034407762718,0.493137767007512,0.0636833093617399,"SRS",5,"Dependent Covariates (Equal Covariance)",1,0.5
7,"X2",0.937070931219651,1.034395252308,0.112135248585338,"SRS",5,"Dependent Covariates (Equal Covariance)",1,1
