"id","Model","est_beta0","est_beta1","est_beta2","Design","Covar","ErrorVar","Truth"
1,"X1",0.0383430974922446,0.5016037617188,0.106526541827189,"SRS","Dependent Covariates (Equal Covariance)",0.25,0.5
1,"X2",1.09941846388343,0.846570595408088,0.285568729896815,"SRS","Dependent Covariates (Equal Covariance)",0.25,1
1,"X3",2.21655803770987,1.50103019221294,0.135986745735249,"SRS","Dependent Covariates (Equal Covariance)",0.25,1.5
1,"X4",3.0356046651646,2.03113946158228,0.586891956048943,"SRS","Dependent Covariates (Equal Covariance)",0.25,2
1,"X5",3.8075786165064,2.32796545320515,0.957345340426884,"SRS","Dependent Covariates (Equal Covariance)",0.25,2.5
2,"X1",-0.0503959810315531,0.525808559717181,0.246574862903342,"SRS","Dependent Covariates (Equal Covariance)",0.25,0.5
2,"X2",1.0754150324688,1.0046899649092,0.262364262467641,"SRS","Dependent Covariates (Equal Covariance)",0.25,1
2,"X3",2.01606331783384,1.40848834458945,0.490905587540753,"SRS","Dependent Covariates (Equal Covariance)",0.25,1.5
2,"X4",3.01175524704465,1.96795478975878,0.284393384590152,"SRS","Dependent Covariates (Equal Covariance)",0.25,2
2,"X5",4.08944029496912,2.59845285974936,0.21167498664627,"SRS","Dependent Covariates (Equal Covariance)",0.25,2.5
3,"X1",0.0620731053567565,0.501315329244136,0.0259009741652733,"SRS","Dependent Covariates (Equal Covariance)",0.25,0.5
3,"X2",1.03822387757101,1.05096037852252,0.112919325076335,"SRS","Dependent Covariates (Equal Covariance)",0.25,1
3,"X3",2.00961233531486,1.25345447752984,0.394879477989958,"SRS","Dependent Covariates (Equal Covariance)",0.25,1.5
3,"X4",3.02310101199604,1.94827910750188,0.391082528250639,"SRS","Dependent Covariates (Equal Covariance)",0.25,2
3,"X5",4.19292957227302,2.50046622070875,0.304539214691414,"SRS","Dependent Covariates (Equal Covariance)",0.25,2.5
4,"X1",-0.108638292696219,0.502623877559181,0.198280233687769,"SRS","Dependent Covariates (Equal Covariance)",0.25,0.5
4,"X2",1.05813836088603,0.869869679244967,0.34365640289985,"SRS","Dependent Covariates (Equal Covariance)",0.25,1
4,"X3",1.95130024634307,1.33155273153489,0.507399983244323,"SRS","Dependent Covariates (Equal Covariance)",0.25,1.5
4,"X4",2.76742519343715,1.94637347913214,0.580228299343859,"SRS","Dependent Covariates (Equal Covariance)",0.25,2
4,"X5",3.82106771446151,2.64025963704296,0.536316360502858,"SRS","Dependent Covariates (Equal Covariance)",0.25,2.5
5,"X1",0.0117257804897524,0.529688676699955,-0.078493693643568,"SRS","Dependent Covariates (Equal Covariance)",0.25,0.5
5,"X2",1.08258536578544,1.11626514929429,-0.0175614569806699,"SRS","Dependent Covariates (Equal Covariance)",0.25,1
5,"X3",1.91607292616116,1.75359698228621,0.288709136582018,"SRS","Dependent Covariates (Equal Covariance)",0.25,1.5
5,"X4",2.84873195537675,1.96014413648555,0.259665330741205,"SRS","Dependent Covariates (Equal Covariance)",0.25,2
5,"X5",3.85993912544896,2.50516606964235,0.688798589481445,"SRS","Dependent Covariates (Equal Covariance)",0.25,2.5
6,"X1",0.126807319984264,0.501950534888166,-0.115315231778237,"SRS","Dependent Covariates (Equal Covariance)",0.25,0.5
