"id","Model","est_beta0","est_beta1","est_beta2","Design","Covar","ErrorVar","Truth"
4,"X3",1.86235410322663,1.39589381174656,0.456818896468071,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
4,"X4",3.04987923072113,1.93866599834319,0.424041976794919,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
4,"X5",4.05113391283237,2.51007727177672,0.417974196486033,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
5,"X1",0.0196179613396488,0.476967902154997,0.0808163117400712,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
5,"X2",1.03721216846406,1.07047960075966,0.0579681027810607,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
5,"X3",1.92786224783955,1.50480831285834,0.312864628532083,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
5,"X4",2.95538278447669,2.10946331071359,0.41452880262437,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
5,"X5",3.94587299076611,2.58467562122422,0.762976801245497,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
6,"X1",0.0602989673370058,0.454219992285224,0.0667634193896519,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
6,"X2",1.04721748236673,0.940478272628587,0.207702473642007,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
6,"X3",2.10298029520375,1.55622230957359,-0.0451713922390943,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
6,"X4",2.8996274206336,1.9922686528371,0.505424525897498,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
6,"X5",3.92466394401674,2.61486354342473,0.690566787174159,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
7,"X1",0.0450631756036903,0.534007700289948,0.0234885386652314,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
7,"X2",1.03010216445276,1.01063943648879,0.215685064882014,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
7,"X3",1.94039358747989,1.54705045129908,0.271698588437918,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
7,"X4",3.11083129537472,1.95818147006567,0.392897330424081,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
7,"X5",4.16085126766093,2.4906882520639,0.358035734442639,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
8,"X1",0.00833443965415444,0.506278312481685,0.0436048280447623,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
8,"X2",0.966002775665063,0.983120274474248,0.189568116698066,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
8,"X3",1.93557234960675,1.44166521887019,0.653183899592858,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
8,"X4",2.89117676180853,2.04044399572893,0.492234533051514,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
8,"X5",3.83881403728286,2.62517922062841,0.579428104479464,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
9,"X1",0.0167710113150139,0.511265325005935,0.00312002990381653,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
9,"X2",1.01426825484339,1.05949717575123,0.111386386306807,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
9,"X3",1.90442557688814,1.62294695475369,0.222510456619956,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
9,"X4",2.86801667055484,1.96362773808536,0.573099724920113,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
9,"X5",4.07799509984533,2.56550502345482,0.298963565725281,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
10,"X1",0.00301440817633972,0.479226326983585,0.158081781243486,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
10,"X2",1.03186653569674,0.961717455347053,0.149486831161866,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
10,"X3",2.04746209476922,1.46417671816844,0.309252032562401,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
10,"X4",3.06593110562431,1.92514311136336,0.551403026878224,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
10,"X5",3.99570237967735,2.55653496361881,0.537749654263658,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
11,"X1",0.00197421701452959,0.488350870165784,0.178030027693875,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
11,"X2",0.988069268075603,0.998105029776747,0.239220482868519,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
11,"X3",2.00815433000068,1.50441876598598,0.529234676573256,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
11,"X4",3.05011925268617,2.29769080370059,0.244336055101768,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
11,"X5",3.95541137195709,2.60427173733849,0.519562635941343,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
12,"X1",-0.0424960549338539,0.465627156654518,0.188432729887159,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
12,"X2",1.00401249335155,1.02876662292603,0.158552377356674,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
12,"X3",1.99330242063797,1.49823352773977,0.270855874201614,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
12,"X4",2.93710407404486,2.06593054152031,0.714095739857181,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
12,"X5",3.95431688422333,2.40012383959996,0.648585835781025,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
13,"X1",-0.0250475674828219,0.507149001612652,0.134399681220833,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
13,"X2",1.07080827093046,0.945912422729739,0.0855659856368222,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
13,"X3",2.02798420952832,1.55667905353209,0.232337667795516,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
13,"X4",2.98316308810783,2.13445911233712,0.207607187021368,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
13,"X5",4.01644497246141,2.4907413711285,0.363837058465101,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
14,"X1",0.0552057511469685,0.461540978333249,-0.0232393198630676,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
14,"X2",0.984540102959603,1.04082529804281,0.186929659996172,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
14,"X3",1.99804347732493,1.50476482842587,0.310175094598661,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
14,"X4",3.06724490501078,2.11526436224379,0.249842975609661,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
14,"X5",3.97914645552819,2.43352740153766,0.701048215013933,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
15,"X1",0.0344811900513274,0.466725806025197,0.12534611438929,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
15,"X2",1.05528486588851,0.97839736695291,0.158219205098192,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
15,"X3",1.87025864910291,1.50194848331463,0.552324141488032,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
15,"X4",3.08769981971842,2.01578709110024,0.24678755431858,"SRS","Dependent Covariates (Equal Covariance)",0.01,2
15,"X5",4.00731575510978,2.67569066978673,0.28342304081687,"SRS","Dependent Covariates (Equal Covariance)",0.01,2.5
16,"X1",0.0273207225176403,0.578488414492247,0.0727865886241145,"SRS","Dependent Covariates (Equal Covariance)",0.01,0.5
16,"X2",0.907156107696041,1.00526720337181,0.311122656516883,"SRS","Dependent Covariates (Equal Covariance)",0.01,1
16,"X3",1.9551700219421,1.55789090306439,0.328880190197479,"SRS","Dependent Covariates (Equal Covariance)",0.01,1.5
