"model","design","term","estimate","std.error","statistic","p.value"
1,"SRS","(Intercept)",42.7824157483747,3.6764978833856,11.6367306892007,1.17305040078909e-28
1,"SRS","X1",0.00193346626227674,0.00190923527135195,1.01269146411046,0.312950952753454
1,"SRS","RIAGENDRFemale",12.276878066309,1.42481439172582,8.61647533714095,1.25787820096263e-17
1,"SRS","RIDAGEYR",0.727880882810607,0.0435094073169287,16.7292759818266,2.09271356164582e-59
1,"SRS","RIDRETH1Mexican American",-14.6391710523897,2.96845262824045,-4.93158318011194,8.72315719877378e-07
1,"SRS","RIDRETH1Other Hispanic",-10.5222221343425,2.45209563124609,-4.29111409859469,1.85075783310305e-05
1,"SRS","RIDRETH1Non-Hispanic Black",-18.8310275776617,2.41157039920773,-7.80861615478785,8.64892025346649e-15
1,"SRS","RIDRETH1Other Race (Including Multi-Racial)",-6.46016018787567,2.42984190510849,-2.65867510733675,0.00789875746670891
1,"SRS","DMDEDUC2< 9th Grade",-7.40031432773304,3.89119557987031,-1.90180991313207,0.0573174328259003
1,"SRS","DMDEDUC29-11th Grade",-15.1754673957435,3.08628877767656,-4.91706009674441,9.39069306086195e-07
1,"SRS","DMDEDUC2High School Grad/GED or Equivalent",-7.13523386085085,1.93982733655648,-3.67828297209024,0.000240126108949447
1,"SRS","DMDEDUC2Some College or AA Degree",-2.70192794047766,1.69863035422587,-1.59065092281895,0.111821839626326
2,"SRS","(Intercept)",73.4433341930665,1.06233323040369,69.1339893087572,0
2,"SRS","X2",-0.000864193148574555,0.00224311397060763,-0.385264930760721,0.700620989938324
2,"SRS","RIAGENDRFemale",3.16844474023769,0.495508409063791,6.39433091806478,1.94122777732967e-10
2,"SRS","RIDAGEYR",-0.120862000449617,0.0150800278737003,-8.01470670093398,1.7175824056358e-15
2,"SRS","RIDRETH1Mexican American",-2.74910545648781,1.03887391512399,-2.64623590646197,0.00819331167416464
2,"SRS","RIDRETH1Other Hispanic",0.499767071559451,0.850649059731412,0.587512636194825,0.556915593201054
2,"SRS","RIDRETH1Non-Hispanic Black",-0.8983031473093,0.850511944600115,-1.05619110115103,0.290991997131747
2,"SRS","RIDRETH1Other Race (Including Multi-Racial)",0.681188061262344,0.843009918655141,0.808042759863428,0.419147436985788
2,"SRS","DMDEDUC2< 9th Grade",1.29710821499488,1.35916200658838,0.954344080181241,0.340006876596541
2,"SRS","DMDEDUC29-11th Grade",3.22335874565594,1.07658107722295,2.99406966539912,0.00278133119243135
2,"SRS","DMDEDUC2High School Grad/GED or Equivalent",2.55967470926862,0.675029183232359,3.79194673778649,0.000153231052818677
2,"SRS","DMDEDUC2Some College or AA Degree",2.68701644671325,0.594614932663258,4.51891854561775,6.52205867690083e-06
3,"SRS","(Intercept)",44.1354250404969,1.62302210939695,27.1933603276026,5.35501917797639e-99
3,"SRS","X3",0.0686443791544806,0.0275451412815746,2.49206850866283,0.0139460986705353
3,"SRS","RIAGENDRFemale",9.18032054929327,0.61010568485509,15.0470988505438,2.09756175355275e-48
3,"SRS","RIDAGEYR",0.119805722109111,0.0184255484108153,6.50215230710791,9.92453983923467e-11
3,"SRS","RIDRETH1Mexican American",-3.48416795337151,1.23018037180217,-2.83224154216291,0.00466195954107765
3,"SRS","RIDRETH1Other Hispanic",-1.26934837445316,1.06356058505534,-1.1934894845573,0.232832760434482
3,"SRS","RIDRETH1Non-Hispanic Black",3.15480472257477,1.01204771602155,3.11724899195129,0.00184914821068528
3,"SRS","RIDRETH1Other Race (Including Multi-Racial)",0.190773145215463,1.01410427661924,0.188119850802179,0.85080013652142
3,"SRS","DMDEDUC2< 9th Grade",-5.80669048993934,1.6358867054036,-3.54956762638812,0.000393896312881043
3,"SRS","DMDEDUC29-11th Grade",-5.13015383919835,1.28733083122671,-3.98510912250099,6.95952299336356e-05
3,"SRS","DMDEDUC2High School Grad/GED or Equivalent",-3.43836893204177,0.797726934712686,-4.31020789498622,1.69878088316548e-05
3,"SRS","DMDEDUC2Some College or AA Degree",-3.4375262625547,0.706133267038889,-4.86809844970155,1.20280913461148e-06
4,"SRS","(Intercept)",13.5042336679103,1.7861129266899,7.56068301511982,5.83926131218664e-14
4,"SRS","X4",-0.00637953379710134,0.040178999633054,-0.158777815659031,0.87419321214512
4,"SRS","RIAGENDRFemale",-2.43054155510894,0.869083900473759,-2.79667078608175,0.00520605727787219
4,"SRS","RIDAGEYR",-0.00699155310197333,0.0263496260466925,-0.26533784918177,0.790772329535739
4,"SRS","RIDRETH1Mexican American",3.49688661970192,1.82238437009073,1.91885239859021,0.0551245359442295
4,"SRS","RIDRETH1Other Hispanic",3.26604938769557,1.50017261614179,2.17711572158631,0.0295731131895443
4,"SRS","RIDRETH1Non-Hispanic Black",0.430582030656584,1.48279442111276,0.29038552109837,0.771547519801229
4,"SRS","RIDRETH1Other Race (Including Multi-Racial)",-0.893327674639051,1.47254428907246,-0.606655895695842,0.54413761667299
4,"SRS","DMDEDUC2< 9th Grade",1.32219172565877,2.38994174631981,0.553231779684493,0.580157553273843
4,"SRS","DMDEDUC29-11th Grade",2.94922388514613,1.88640184207342,1.56341232253278,0.118089922185213
4,"SRS","DMDEDUC2High School Grad/GED or Equivalent",3.13759738329241,1.17715565046664,2.66540570233735,0.00774188577283786
4,"SRS","DMDEDUC2Some College or AA Degree",2.24864053038176,1.03796490454332,2.16639360400254,0.030380636795829
5,"SRS","(Intercept)",367.262111590606,26.8976641360553,13.6540522527495,3.03425361179372e-36
5,"SRS","X5",0.0263135267019037,0.057524896830334,0.457428490128609,0.64813065497416
5,"SRS","RIAGENDRFemale",28.437096963713,10.3256635530603,2.75402126145053,0.00594784553237756
5,"SRS","RIDAGEYR",3.48127538719511,0.29864518991145,11.6568942169379,1.48978518128205e-30
5,"SRS","RIDRETH1Mexican American",-49.0771609897606,20.3671894707876,-2.40961871838779,0.0160452381641997
5,"SRS","RIDRETH1Other Hispanic",-63.0932649922759,16.6729844307074,-3.78416145318737,0.00015806282010532
5,"SRS","RIDRETH1Non-Hispanic Black",-105.624072814835,16.4779688777369,-6.4100177393551,1.75130437350305e-10
5,"SRS","RIDRETH1Other Race (Including Multi-Racial)",-56.0881816293112,16.4871956639746,-3.40192369717956,0.000680240540346122
5,"SRS","DMDEDUC2< 9th Grade",-17.0895863699407,26.8271254713942,-0.637026370498148,0.524170008734792
5,"SRS","DMDEDUC29-11th Grade",-42.4711436458541,21.6149488678299,-1.96489678997414,0.0495509395400806
